Fighter,Elo Rating
Todd Medina,1000
Steven Graham,1000
Alfonso Alcarez,1000
CJ Fernandes,1000
Mark Robinson,1000
Ron Faircloth,1000
Anthony Torres,1000
Roman Mitichyan,1000
Nate Loughran,1000
Mackens Semerzier,1000
Pedro Nobre,1000
Robert Drysdale,1000
DeAnna Bennett,1000
Hamdy Abdelwahab,1000
Joe Slick,999.98
Montserrat Rendon,999.96
Kyle Nelson,999.9
Nick Thompson,999.86
Kenny Robertson,999.86
Hunter Azure,999.84
Shauna Bannon,999.84
Kevin Jackson,999.83
Joe Duffy,999.82
Jonathan Meunier,999.82
Miguel Torres,999.76
Keith Rockel,999.75
Katsuhisa Fujii,999.71
Jason DeLucia,999.7
Chris Clements,999.7
Luke Barnatt,999.53
Matthew Semelsberger,999.53
Levan Makashvili,999.51
Abubakar Nurmagomedov,999.43
Tony Gravely,999.38
Viviane Pereira,999.37
Gabriel Miranda,999.36
Dan Bobish,999.3
Evan Elder,999.29
Hector Sandoval,999.28
Chad Anheliger,999.2
Justin McCully,999.18
Loik Radzhabov,999.18
Sirwan Kakai,999.17
Ivana Petrovic,999.15
Diego Rivas,999.11
Sam Hughes,999.08
Chris Kelades,999.06
Albert Duraev,999.05
Nah-Shon Burrell,998.99
Mirko Filipovic,998.96
Mike Nickels,998.93
Erick Silva,998.93
Tony Fryklund,998.91
Talita Alencar,998.85
Andrei Semenov,998.8
Pascal Krauss,998.7
Ange Loosa,998.69
Mike Ciesnolevicz,998.67
Fredy Serrano,998.62
Scott Morris,998.58
Nick Denis,998.58
Scott Bessac,998.52
Tereza Bleda,998.49
Roberto Traven,998.48
War Machine,998.48
Anying Wang,998.48
Melissa Mullins,998.47
Benji Radach,998.44
Mounir Lazzez,998.42
Dustin Hazelett,998.25
Ian Heinisch,998.18
Garrett Armfield,998.1
Paul Jones,998.02
Antonio Rodrigo Nogueira,998.01
John Gunther,998
Yancy Medeiros,997.94
Maheshate,997.91
Danny Castillo,997.73
Naoki Inoue,997.72
Jarred Brooks,997.63
Francis Marshall,997.61
CJ Vergara,997.6
Darren Uyenoyama,997.47
Chidi Njokuani,997.43
Ken Stone,997.4
Gokhan Saki,997.37
Shamil Gamzatov,997.31
David Dvorak,997.29
Jamey-Lyn Horth,997.29
Cole Miller,997.17
Jesse Taylor,997.15
Jimy Hettes,997.15
Igor Araujo,997.05
Sijara Eubanks,997.01
Kyle Watson,996.92
Mike Pyle,996.9
Danny Henry,996.83
Brock Larson,996.78
Nick Catone,996.77
Azat Maksum,996.64
