Rank,Map Name,Agent Name,alias,Year,Quarter,Month,Day,Sum of Ultimate Casts,Sum of TRN Performance Score,Sum of Traded,Sum of Thrifty,Sum of Team Aces,Sum of Rounds Won,Sum of Rounds Played,Sum of Rounds Lost,Sum of Round Ratio,Sum of Plants,Sum of Placement,Sum of Match Result Binary,Sum of KD Ratio,Sum of Last Deaths,Sum of Kills,Sum of KAST,Sum of Headshots Percentage,Sum of Headshots,Sum of Flawless,Sum of Grenade Casts,Sum of First Bloods,Sum of First Deaths,Sum of Ability 1 Casts,Sum of Ability 2 Casts,Sum of Assists,Sum of Clutches,Sum of Damage,Sum of Damage Delta Per Round,Sum of Damage Per Round,Sum of Damage Received,Sum of Dealt Bodyshots,Sum of Dealt Headshots,Sum of Deaths,Sum of Defuses,Sum of Econ Rating,Match Result
Silver 1,Haven,Phoenix,sp1cyn00dz,2021,Qtr 3,July,2,6,486,2,4,6,13,24,11,1.18181818181818,0,5,1,1.0588235294117647,2,18,62,13.414634146341465,6,0,3,2,2,5,8,6,1,3217,-17.625,134.04166666666666,3640,59,11,17,0,51,victory
Silver 2,Bind,Phoenix,sp1cyn00dz,2021,Qtr 2,June,15,6,360,2,6,7,8,21,13,0.615384615384615,0,6,0,0.9411764705882353,0,16,57,12.676056338028168,7,1,2,3,5,9,3,1,0,2900,-29.761904761904763,138.0952380952381,3525,56,9,17,0,53,defeat
Silver 2,Bind,Sova,sp1cyn00dz,2023,Qtr 3,July,4,6,808,2,4,13,8,34,26,0.615384615384616,0,12,0,1.8153846153846154,8,26,127,40.4040404040404,13,0,11,4,1,2,29,8,0,4825,-10.540350877192985,273.3298245614035,4821,58,16,28,0,114,defeat
Silver 2,Fracture,Phoenix,sp1cyn00dz,2023,Qtr 3,July,2,6,239,1,3,8,10,23,13,0.769230769230769,0,8,0,0.6,2,12,61,25.64102564102564,8,1,2,3,4,6,5,3,0,2560,-63.47826086956522,111.30434782608695,4020,29,10,20,0,41,defeat
Silver 3,Ascent,Killjoy,a1ex,2022,Qtr 4,October,23,6,756,3,11,11,21,47,26,1.615384615384615,1,15,0,1.8571428571428572,10,27,132,18.926056338028168,11,3,66,1,1,32,24,7,1,4793,-35.78442028985507,203.83333333333331,5633,115,14,29,0,89,defeat
Silver 3,Ascent,Phoenix,sp1cyn00dz,2024,Qtr 3,August,5,6,637,2,3,19,13,28,15,0.866666666666667,0,2,0,1.15,4,23,68,25.581395348837212,19,2,2,3,3,11,5,4,1,5182,24.714285714285715,185.07142857142858,4490,59,22,20,3,68,defeat
Silver 3,Fracture,Phoenix,sp1cyn00dz,2023,Qtr 1,January,20,6,597,1,3,15,10,23,13,0.769230769230769,1,4,0,1.2,5,18,74,32.142857142857146,15,0,6,4,2,9,9,1,0,3810,4.956521739130435,165.65217391304347,3696,37,18,15,0,77,defeat
Silver 3,Lotus,Phoenix,sp1cyn00dz,2023,Qtr 3,August,22,6,249,4,3,8,6,19,13,0.461538461538462,0,6,0,0.9333333333333333,2,14,58,20.930232558139537,8,0,2,2,1,9,7,2,2,2393,-74.6842105263158,125.94736842105263,3812,32,9,15,2,53,defeat
Silver 3,Sunset,Phoenix,sp1cyn00dz,2024,Qtr 3,September,3,6,975,4,1,18,13,21,8,1.625,0,1,1,2.3076923076923075,3,30,86,23.75,18,2,2,3,1,7,7,3,1,5315,91.33333333333333,253.0952380952381,3397,58,19,13,0,115,victory
Unranked,Abyss,Gekko,pphead,2024,Qtr 2,June,27,6,284,1,4,9,10,23,13,0.769230769230769,9,8,0,0.9375,2,15,52,26.666666666666668,9,0,14,1,2,16,17,4,0,2425,-27,105.43478260869566,3046,32,12,16,1,44,defeat
Unranked,Lotus,Phoenix,sp1cyn00dz,2023,Qtr 2,June,27,6,920,3,4,14,13,21,8,1.625,0,2,1,2.090909090909091,1,23,86,25,14,1,0,4,2,10,13,8,0,4147,54.23809523809524,197.47619047619048,3008,53,18,11,2,96,victory
Unranked,Sunset,Raze,pphead,2024,Qtr 1,January,9,6,1517,5,8,27,26,46,20,2.6,1,6,2,2.4,2,38,148,55.921052631578945,27,2,31,8,4,37,35,11,0,8254,101,358.8695652173913,5931,84,35,32,0,145,victory
Ascendant 1,Fracture,Phoenix,pphead,2022,Qtr 4,November,11,5,369,2,6,9,15,30,15,1,1,9,0.5,0.8636363636363636,3,19,67,15.873015873015872,9,1,14,6,4,25,14,10,2,3432,-61.166666666666664,114.4,5267,50,10,22,1,40,tied
Ascendant 1,Haven,Phoenix,a1ex,2023,Qtr 3,September,20,5,481,3,7,13,13,24,11,1.18181818181818,0,4,1,0.95,1,19,62,31.372549019607842,13,0,2,4,4,24,10,6,0,3415,-27.291666666666668,142.29166666666666,4070,35,16,20,0,50,victory
Ascendant 1,Haven,Phoenix,pphead,2022,Qtr 4,November,10,5,557,6,3,10,13,23,10,1.3,1,7,1,0.9411764705882353,1,16,74,22.916666666666664,10,1,8,2,4,24,15,6,1,2852,-16.91304347826087,124,3241,30,11,17,1,46,victory
Ascendant 1,Lotus,Yoru,a1ex,2023,Qtr 3,September,19,5,739,2,4,16,11,24,13,0.846153846153846,0,1,0,1.7777777777777777,2,32,67,13.492063492063492,16,1,13,6,6,18,25,5,0,5256,83.16666666666667,219,3260,102,17,18,2,86,defeat
Ascendant 1,Split,Skye,a1ex,2024,Qtr 1,January,23,5,715,2,3,25,11,24,13,0.846153846153846,6,1,0,1.588235294117647,2,27,67,44.642857142857146,25,1,0,3,3,6,14,3,3,5029,75.66666666666667,209.54166666666666,3213,30,25,17,0,89,defeat
Ascendant 1,Sunset,Gekko,a1ex,2024,Qtr 3,July,18,5,303,5,5,8,13,24,11,1.18181818181818,5,10,1,0.5882352941176471,3,10,67,38.095238095238095,8,1,14,0,3,13,22,5,0,1594,-47.625,66.41666666666667,2737,12,8,17,0,22,victory
Ascendant 2,Bind,Brimstone,pphead,2023,Qtr 2,June,18,5,901,5,6,17,13,24,11,1.18181818181818,4,2,1,1.5,3,24,92,39.130434782608695,17,2,16,2,0,14,59,14,0,4250,51.75,177.08333333333334,3008,25,18,16,0,66,victory
Ascendant 2,Bind,Phoenix,a1ex,2024,Qtr 1,February,1,5,562,4,5,14,13,23,10,1.3,2,3,1,1.3125,2,21,65,28.57142857142857,14,0,3,2,2,20,8,3,1,3731,-21.782608695652176,162.2173913043478,4232,35,16,16,1,64,victory
Ascendant 2,Icebox,Gekko,a1ex,2024,Qtr 2,May,16,5,747,5,4,14,13,21,8,1.625,6,6,1,1.2857142857142858,0,18,86,45.45454545454545,14,0,4,2,2,13,25,5,0,2831,8.714285714285714,134.8095238095238,2648,17,15,14,1,50,victory
Ascendant 2,Icebox,Iso,a1ex,2024,Qtr 1,February,9,5,831,5,3,22,13,23,10,1.3,0,1,1,1.3,0,26,74,42.10526315789473,22,0,2,11,1,4,25,5,0,4956,55.04347826086956,215.47826086956522,3690,32,24,20,0,69,victory
Ascendant 2,Icebox,Iso,a1ex,2024,Qtr 1,February,11,5,831,6,7,17,15,30,15,1,0,1,0.5,1.5217391304347827,2,35,77,19.26605504587156,17,3,2,3,7,10,29,4,0,6050,40.2,201.66666666666666,4844,83,21,23,0,65,tied
Ascendant 2,Lotus,Gekko,a1ex,2024,Qtr 1,February,9,5,643,3,7,8,13,17,4,3.25,3,5,1,1.375,1,11,76,31.03448275862069,8,1,9,2,4,6,25,6,0,1994,18.41176470588235,117.29411764705883,1681,16,9,8,2,56,victory
Ascendant 2,Lotus,Gekko,a1ex,2024,Qtr 2,May,6,5,738,5,9,30,16,30,14,1.14285714285714,3,1,1,1.4545454545454546,1,32,67,45.588235294117645,30,2,10,6,8,7,27,7,1,5630,64.73333333333333,187.66666666666666,3688,26,31,22,2,67,victory
Ascendant 2,Lotus,Phoenix,a1ex,2024,Qtr 1,January,30,5,739,1,6,12,13,24,11,1.18181818181818,0,2,1,1.4666666666666666,2,22,75,17.391304347826086,12,2,1,5,3,24,6,8,0,4327,24.541666666666668,180.29166666666666,3738,52,12,15,0,81,victory
Ascendant 2,Split,Cypher,a1ex,2024,Qtr 1,January,31,5,799,2,3,15,15,30,15,1,5,4,0.5,1.1363636363636365,3,25,83,19.27710843373494,15,1,44,6,1,37,25,12,2,4884,29.1,162.8,4011,61,16,22,1,50,tied
Ascendant 2,Sunset,Cypher,a1ex,2024,Qtr 1,February,11,5,520,2,2,14,9,22,13,0.692307692307692,5,3,0,0.9473684210526315,3,18,73,34.090909090909086,14,1,35,2,1,29,19,8,1,3089,-25.227272727272727,140.4090909090909,3644,28,15,19,0,49,defeat
Ascendant 2,Sunset,Fade,a1ex,2023,Qtr 4,December,22,5,878,5,6,26,14,30,16,0.875,6,3,0,1.8125,5,29,90,47.368421052631575,26,1,41,3,1,19,55,6,1,5118,62.2,170.6,3252,29,27,16,1,62,defeat
Bronze 1,Ascent,Jett,a1ex,2022,Qtr 3,September,20,5,1648,4,9,17,26,36,10,5.41666666666667,6,5,2,4.171428571428572,1,34,155,31.947261663286007,17,1,28,3,1,23,34,6,3,6230,143.71517027863777,348.0743034055728,3674,92,20,17,1,196,victory
Bronze 2,Bind,Phoenix,sp1cyn00dz,2022,Qtr 2,June,2,5,598,1,3,10,10,23,13,0.769230769230769,0,4,0,1.2666666666666666,3,19,65,12.987012987012985,10,0,1,5,1,4,4,3,1,4104,27.304347826086957,178.43478260869566,3476,64,10,15,0,76,defeat
Bronze 2,Icebox,Viper,a1ex,2022,Qtr 3,September,23,5,908,3,7,14,14,40,26,1.076923076923077,4,13,0,1.9191176470588236,8,32,132,25.24251805985552,14,1,37,3,4,25,35,6,4,5179,-42.888888888888886,255.3181818181818,5941,99,19,33,2,107,defeat
Bronze 3,Bind,Jett,pphead,2021,Qtr 3,August,31,5,240,1,2,9,6,19,13,0.461538461538462,0,6,0,0.6470588235294118,1,11,58,25,9,1,26,5,2,5,11,2,0,2193,-39.78947368421053,115.42105263157895,2949,25,9,17,0,41,defeat
Bronze 3,Icebox,Viper,a1ex,2022,Qtr 3,September,25,5,668,6,7,10,11,24,13,0.846153846153846,3,4,0,1.5,2,24,75,15.66265060240964,10,1,15,1,1,8,16,4,2,3282,10.916666666666666,136.75,3020,59,13,16,0,61,defeat
Bronze 3,Split,Yoru,pphead,2021,Qtr 3,September,8,5,613,4,5,8,13,20,7,1.85714285714286,1,6,1,0.9411764705882353,2,16,70,12.857142857142856,8,1,5,3,3,11,18,2,0,2961,6.05,148.05,2840,56,9,17,2,53,victory
Diamond 1,Ascent,Killjoy,pphead,2023,Qtr 3,August,4,5,845,3,3,12,13,23,10,1.3,0,3,1,1.6,2,24,83,17.82178217821782,12,1,34,3,0,20,10,3,1,3778,34.78260869565217,164.2608695652174,2978,82,18,15,2,66,victory
Diamond 1,Bind,Brimstone,shift,2023,Qtr 2,April,30,5,371,3,6,9,13,28,15,0.866666666666667,5,9,0,0.8095238095238095,2,17,68,25.64102564102564,9,3,15,2,1,9,58,10,0,2972,-42.25,106.14285714285714,4155,26,10,21,0,36,defeat
Diamond 1,Bind,Cypher,a1ex,2024,Qtr 1,January,10,5,544,4,6,9,13,23,10,1.3,3,10,1,0.9285714285714286,4,13,78,20,9,0,36,1,1,25,18,3,3,2316,-5.478260869565218,100.69565217391305,2442,34,9,14,3,42,victory
Diamond 1,Bind,Cypher,silver,2023,Qtr 4,December,16,5,597,5,5,9,16,30,14,1.14285714285714,6,7,1,0.9047619047619048,1,19,77,11.956521739130435,9,1,48,0,2,38,21,6,0,3856,-1.3,128.53333333333333,3895,72,11,21,1,40,victory
Diamond 1,Breeze,Cypher,shift,2024,Qtr 2,April,21,5,656,3,6,10,13,23,10,1.3,2,6,1,0.8235294117647058,3,14,78,19.35483870967742,10,0,34,2,1,30,23,12,0,3139,11.826086956521738,136.47826086956522,2867,50,12,17,0,57,victory
Diamond 1,Breeze,Deadlock,shift,2023,Qtr 4,October,7,5,847,1,3,15,14,26,12,1.16666666666667,1,2,1,1.625,4,26,81,29.6875,15,2,7,4,0,43,16,5,0,4636,52.88461538461539,178.30769230769232,3261,42,19,16,0,63,victory
Diamond 1,Fracture,Brimstone,shift,2023,Qtr 2,May,9,5,943,4,3,18,13,24,11,1.18181818181818,3,1,1,2,1,28,88,25.675675675675674,18,2,16,4,0,7,59,9,0,4906,81.625,204.41666666666666,2947,49,19,14,2,81,victory
Diamond 1,Fracture,Jett,pphead,2022,Qtr 1,January,10,5,796,3,4,15,13,24,11,1.18181818181818,0,2,1,1.5,2,27,75,18.29268292682927,15,1,29,6,5,2,11,5,1,4844,33.666666666666664,201.83333333333334,4036,58,15,18,3,75,victory
Diamond 1,Fracture,Raze,shift,2022,Qtr 4,December,11,5,741,6,5,9,11,24,13,0.846153846153846,8,3,0,1.0555555555555556,7,19,83,11.538461538461538,9,2,15,1,3,8,21,5,1,3949,27.208333333333332,164.54166666666666,3296,64,9,18,1,68,defeat
Diamond 1,Icebox,Gekko,justsimple,2023,Qtr 1,March,17,5,416,5,9,5,13,24,11,1.18181818181818,7,9,1,0.6666666666666666,5,12,71,12.698412698412698,5,0,9,0,1,17,24,7,0,2616,-28.666666666666668,109,3304,49,8,18,1,41,victory
Diamond 1,Split,Gekko,justsimple,2023,Qtr 1,March,17,5,487,7,6,7,16,32,16,1,3,9,0.5,0.75,2,21,78,10.588235294117647,7,2,14,3,4,12,31,9,1,3425,-46.59375,107.03125,4916,69,9,28,1,33,tied
Diamond 2,Ascent,Jett,a1ex,2023,Qtr 1,February,13,5,798,3,10,19,15,28,13,1.15384615384615,0,1,1,1,2,24,89,31.25,19,1,5,5,3,25,30,8,0,4677,3.892857142857143,167.03571428571428,4568,43,20,24,0,57,victory
Diamond 2,Bind,Gekko,pphead,2024,Qtr 2,May,6,5,788,2,7,11,13,22,9,1.44444444444444,4,1,1,1.3571428571428572,4,19,82,17.391304347826086,11,1,12,5,1,14,25,6,0,3287,6.454545454545454,149.4090909090909,3145,54,12,14,0,58,victory
Diamond 2,Bind,Gekko,pphead,2024,Qtr 2,May,11,5,381,4,4,11,7,20,13,0.538461538461538,4,2,0,1,1,17,55,27.659574468085108,11,1,9,0,2,16,22,3,0,2911,-16.6,145.55,3243,33,13,17,0,54,defeat
Diamond 2,Breeze,Clove,shift,2024,Qtr 2,April,25,5,597,5,3,14,12,26,14,0.857142857142857,5,6,0,0.8636363636363636,4,19,77,23.28767123287671,14,0,4,1,2,11,72,9,0,3544,-5.538461538461538,136.30769230769232,3688,53,17,22,2,55,defeat
Diamond 2,Haven,Brimstone,shift,2023,Qtr 2,June,22,5,842,4,5,10,13,19,6,2.16666666666667,4,2,1,1.3846153846153846,2,18,79,17.24137931034483,10,0,10,0,1,10,33,11,1,3406,41.78947368421053,179.26315789473685,2612,45,10,13,1,65,victory
Diamond 2,Haven,Phoenix,a1ex,2023,Qtr 3,August,16,5,767,1,4,20,7,20,13,0.538461538461538,0,1,0,1.9333333333333333,2,29,75,33.33333333333333,20,0,7,4,1,23,11,6,1,5324,74.3,266.2,3838,41,21,15,1,98,defeat
Diamond 2,Haven,Raze,shift,2023,Qtr 1,March,21,5,827,0,4,24,7,20,13,0.538461538461538,3,1,0,1.9375,4,31,80,28.865979381443296,24,0,14,3,1,8,17,3,0,5404,126.2,270.2,2880,65,28,16,1,100,defeat
Diamond 2,Lotus,Gekko,shift,2023,Qtr 4,November,5,5,386,2,3,12,8,21,13,0.615384615384615,5,7,0,0.8235294117647058,1,14,57,34.21052631578947,12,0,8,1,2,8,21,4,0,3092,-1.5714285714285714,147.23809523809524,3125,25,13,17,0,54,defeat
Diamond 2,Pearl,Killjoy,pphead,2023,Qtr 1,January,28,5,349,5,4,10,12,26,14,0.857142857142857,5,9,0,0.7,2,14,65,17.441860465116278,10,2,26,1,2,23,12,6,0,3088,-36.38461538461539,118.76923076923077,4034,66,15,20,0,43,defeat
Diamond 2,Pearl,Phoenix,a1ex,2023,Qtr 3,August,16,5,668,3,3,17,13,21,8,1.625,0,3,1,1.3125,3,21,67,41.81818181818181,17,0,2,3,4,17,7,5,0,3878,1.5238095238095237,184.66666666666666,3846,31,23,16,0,74,victory
Diamond 2,Pearl,Phoenix,pphead,2023,Qtr 3,August,11,5,419,3,6,12,13,24,11,1.18181818181818,0,6,1,0.9411764705882353,3,16,67,39.39393939393939,12,1,6,2,5,31,20,5,0,2909,-35.333333333333336,121.20833333333333,3757,18,13,17,1,48,victory
Diamond 2,Split,Raze,shift,2023,Qtr 4,November,17,5,771,3,3,12,13,24,11,1.18181818181818,1,1,1,1.6470588235294117,4,28,71,14.736842105263156,12,1,13,6,3,22,21,3,1,4858,46.25,202.41666666666666,3748,78,14,17,0,77,victory
Diamond 2,Sunset,Cypher,pphead,2024,Qtr 2,May,16,5,593,2,4,16,11,24,13,0.846153846153846,2,2,0,1.1666666666666667,3,21,62,32.20338983050847,16,3,41,3,2,37,23,9,0,3868,28.041666666666668,161.16666666666666,3195,37,19,18,0,66,defeat
Diamond 2,Sunset,Gekko,pphead,2024,Qtr 2,May,30,5,815,3,1,7,10,13,3,3.33333333333333,10,6,1,2.2,0,11,92,30.434782608695656,7,1,9,0,1,12,13,4,0,1737,68.84615384615384,133.6153846153846,842,15,7,5,0,86,victory
Diamond 2,Sunset,Gekko,pphead,2024,Qtr 2,June,3,5,580,2,8,7,13,24,11,1.18181818181818,9,7,1,1.3333333333333333,4,16,75,14.583333333333334,7,1,17,2,0,20,34,6,0,2679,8.125,111.625,2484,36,7,12,1,47,victory
Diamond 3,Haven,Brimstone,pphead,2023,Qtr 4,October,16,5,689,2,3,19,18,34,16,1.125,3,2,1,1.5789473684210527,3,30,68,28.947368421052634,19,2,15,6,4,18,77,13,1,5316,41,156.35294117647058,3922,48,22,19,3,51,victory
Diamond 3,Haven,Phoenix,pphead,2023,Qtr 1,February,22,5,666,4,6,10,13,22,9,1.44444444444444,1,5,1,1,1,15,82,23.52941176470588,10,1,4,4,1,19,12,10,0,3083,-23.545454545454547,140.13636363636363,3601,33,12,15,0,58,victory
Diamond 3,Lotus,Gekko,shift,2024,Qtr 2,June,9,5,324,2,5,5,9,22,13,0.692307692307692,6,8,0,0.375,1,6,77,19.35483870967742,5,0,11,2,3,11,36,6,0,1467,-59.59090909090909,66.68181818181819,2778,21,6,16,0,31,defeat
Diamond 3,Lotus,Gekko,shift,2024,Qtr 2,June,14,5,441,3,3,11,13,28,15,0.866666666666667,9,8,0,0.8947368421052632,4,17,64,21.818181818181817,11,1,14,2,2,14,35,9,0,3587,2.75,128.10714285714286,3510,40,12,19,0,50,defeat
Diamond 3,Lotus,Killjoy,pphead,2023,Qtr 1,February,28,5,433,8,4,12,14,30,16,0.875,7,8,0,0.8260869565217391,2,19,70,17.56756756756757,12,1,30,0,1,20,6,4,2,3674,-30.333333333333332,122.46666666666667,4584,54,13,23,2,39,defeat
Diamond 3,Lotus,Raze,shift,2024,Qtr 1,January,7,5,639,3,5,11,11,24,13,0.846153846153846,2,2,0,1.0555555555555556,3,19,71,15.714285714285714,11,1,19,3,3,23,21,6,1,3925,23.916666666666668,163.54166666666666,3351,57,11,18,1,57,defeat
Diamond 3,Lotus,Reyna,a1ex,2023,Qtr 1,February,23,5,1701,10,10,48,26,47,21,2.48181818181818,0,3,2,3.108359133126935,1,56,157,90.65830721003134,48,1,11,13,7,38,10,6,1,9125,88.3768115942029,388.7735507246377,7045,59,51,36,1,141,victory
Diamond 3,Pearl,Brimstone,pphead,2023,Qtr 1,March,7,5,761,4,4,9,13,24,11,1.18181818181818,8,2,1,1.25,3,20,79,18.9873417721519,9,2,10,1,0,13,51,9,0,3727,25,155.29166666666666,3127,58,15,16,1,61,victory
Diamond 3,Split,Raze,shift,2023,Qtr 4,December,3,5,704,1,3,11,9,22,13,0.692307692307692,2,1,0,1.4375,4,23,68,14.705882352941178,11,2,15,5,1,12,23,5,0,4382,63.36363636363637,199.1818181818182,2988,85,15,16,0,81,defeat
Gold 1,Ascent,Phoenix,sp1cyn00dz,2022,Qtr 3,September,27,5,446,2,2,11,11,24,13,0.846153846153846,1,6,0,1,3,19,67,20.689655172413794,11,0,0,1,3,9,2,4,0,3344,-29.25,139.33333333333334,4046,42,12,19,1,49,defeat
Gold 1,Ascent,Phoenix,sp1cyn00dz,2024,Qtr 3,August,10,5,439,2,4,10,8,21,13,0.615384615384615,1,6,0,0.7647058823529411,6,13,67,23.52941176470588,10,0,2,1,3,9,3,3,1,3346,-1.1904761904761905,159.33333333333334,3371,38,12,17,1,68,defeat
Gold 1,Ascent,Sova,sp1cyn00dz,2023,Qtr 2,May,23,5,739,9,4,15,13,23,10,1.3,2,3,1,1.1666666666666667,2,21,83,40,15,1,7,1,1,11,29,3,2,3640,-9.217391304347826,158.2608695652174,3852,27,18,18,1,54,victory
Gold 1,Bind,Deadlock,justsimple,2023,Qtr 3,July,1,5,697,8,8,14,11,24,13,0.846153846153846,0,1,0,1.3157894736842106,3,25,71,18.666666666666668,14,0,7,4,0,25,11,4,1,4481,26,186.70833333333334,3857,56,14,19,1,72,defeat
Gold 1,Bind,KAY/O,shift,2021,Qtr 3,July,11,5,541,1,5,12,13,23,10,1.3,3,6,1,1.0666666666666667,6,16,65,27.11864406779661,12,1,14,4,1,21,28,8,1,3396,9.347826086956522,147.65217391304347,3181,34,16,15,1,55,victory
Gold 1,Bind,Phoenix,sp1cyn00dz,2024,Qtr 3,August,10,5,782,4,3,12,13,22,9,1.44444444444444,0,3,1,1.4615384615384615,1,19,77,21.052631578947366,12,2,1,0,4,8,3,2,1,3532,44.27272727272727,160.54545454545453,2558,41,12,13,0,100,victory
Gold 1,Bind,Raze,pphead,2021,Qtr 2,April,4,5,775,3,4,12,13,23,10,1.3,1,3,1,1.105263157894737,2,21,83,22.641509433962266,12,0,23,5,4,21,25,5,5,3367,-6.913043478260869,146.3913043478261,3526,41,12,19,1,51,victory
Gold 1,Breeze,Yoru,justsimple,2024,Qtr 1,February,11,5,538,3,3,7,10,23,13,0.769230769230769,1,5,0,0.9473684210526315,2,18,70,17.1875,7,0,19,4,4,22,29,3,0,3228,3.608695652173913,140.34782608695653,3145,45,11,19,0,51,defeat
Gold 1,Fracture,Phoenix,sp1cyn00dz,2022,Qtr 4,October,1,5,146,2,4,7,6,19,13,0.461538461538462,0,8,0,0.6470588235294118,3,11,53,20.51282051282051,7,1,0,0,3,8,3,0,1,1870,-80.6842105263158,98.42105263157895,3403,25,8,17,0,40,defeat
Gold 1,Fracture,Phoenix,sp1cyn00dz,2023,Qtr 1,February,20,5,868,5,3,12,13,18,5,2.6,0,3,1,1.8888888888888888,2,17,83,25,12,0,2,1,2,9,5,1,1,3260,49.72222222222222,181.11111111111111,2365,39,14,9,0,77,victory
Gold 1,Fracture,Phoenix,sp1cyn00dz,2023,Qtr 2,May,12,5,444,0,6,10,6,19,13,0.461538461538462,0,5,0,1,4,14,63,21.73913043478261,10,0,5,0,2,11,7,3,0,3007,0.7368421052631579,158.26315789473685,2993,35,10,14,0,71,defeat
Gold 1,Fracture,Phoenix,sp1cyn00dz,2023,Qtr 2,May,22,5,555,4,3,5,10,23,13,0.769230769230769,0,6,0,1,2,16,78,9.090909090909092,5,0,0,4,0,13,5,10,1,3054,-23.17391304347826,132.7826086956522,3587,66,7,16,1,66,defeat
Gold 1,Icebox,Jett,a1ex,2023,Qtr 1,January,15,5,879,6,6,27,15,28,13,1.15384615384615,0,1,1,1.5714285714285714,2,33,79,34.93975903614458,27,1,6,6,4,20,38,5,2,6473,72.03571428571429,231.17857142857142,4456,50,29,21,0,75,victory
Gold 1,Icebox,Phoenix,sp1cyn00dz,2024,Qtr 3,September,8,5,834,6,3,9,13,15,2,6.5,0,3,1,1.6666666666666667,0,15,87,16.666666666666664,9,1,1,2,1,4,1,4,0,2546,9.2,169.73333333333332,2408,44,9,9,1,70,victory
Gold 1,Pearl,Fade,a1ex,2022,Qtr 4,November,7,5,529,0,2,8,8,21,13,0.615384615384615,5,4,0,1.1333333333333333,3,17,71,10,8,0,25,1,3,8,22,11,2,3066,-5.9523809523809526,146,3191,62,8,15,1,61,defeat
Gold 1,Split,Killjoy,crocodiledundii,2021,Qtr 4,December,19,5,944,5,7,17,13,23,10,1.3,0,1,1,1.6875,1,27,83,22.916666666666664,17,1,24,5,1,14,10,7,1,5329,97.82608695652173,231.69565217391303,3079,70,22,16,1,90,victory
Gold 1,Sunset,Phoenix,sp1cyn00dz,2024,Qtr 3,August,13,5,671,6,4,20,15,28,13,1.15384615384615,0,4,1,1.0909090909090908,3,24,68,24.418604651162788,20,1,0,3,4,9,5,8,0,5661,25,202.17857142857142,4961,62,21,22,0,78,victory
Gold 2,Ascent,KAY/O,justsimple,2022,Qtr 3,August,4,5,746,2,5,9,13,22,9,1.44444444444444,1,3,1,1.4285714285714286,1,20,82,12.162162162162163,9,1,8,0,2,20,31,11,1,2821,2.5454545454545454,128.22727272727272,2765,49,9,14,2,49,victory
Gold 2,Ascent,Phoenix,sp1cyn00dz,2022,Qtr 4,December,6,5,928,2,1,15,13,18,5,2.6,3,1,1,2.0833333333333335,1,25,83,19.736842105263158,15,0,1,1,0,8,6,5,1,4050,49.388888888888886,225,3161,57,15,12,1,92,victory
Gold 2,Ascent,Phoenix,sp1cyn00dz,2024,Qtr 3,September,18,5,636,2,4,9,13,21,8,1.625,0,5,1,1.3636363636363635,3,15,76,17.857142857142858,9,1,2,2,0,14,8,2,1,2974,-4.9523809523809526,141.61904761904762,3078,43,10,11,1,74,victory
Gold 2,Ascent,Raze,shift,2021,Qtr 2,April,10,5,872,1,4,16,13,19,6,2.16666666666667,2,1,1,2.1818181818181817,2,24,74,23.61111111111111,16,1,16,2,2,13,24,1,2,3904,92.3157894736842,205.47368421052633,2150,53,17,11,1,95,victory
Gold 2,Bind,Brimstone,pphead,2021,Qtr 2,April,15,5,576,2,4,11,13,24,11,1.18181818181818,1,6,1,1.2666666666666666,2,19,58,20,11,1,12,1,2,21,61,6,1,3774,37.416666666666664,157.25,2876,45,14,15,1,65,victory
Gold 2,Bind,Brimstone,pphead,2021,Qtr 2,June,7,5,420,4,7,9,12,26,14,0.857142857142857,4,8,0,0.9,2,18,69,22.22222222222222,9,1,8,1,1,22,60,4,0,3064,-18.96153846153846,117.84615384615384,3557,42,12,20,0,41,defeat
Gold 2,Bind,Phoenix,sp1cyn00dz,2024,Qtr 1,January,28,5,438,0,4,4,13,20,7,1.85714285714286,0,9,1,1,1,9,75,16,4,2,1,1,2,9,3,2,0,1443,-33.6,72.15,2115,21,4,9,1,32,victory
Gold 2,Bind,Raze,justsimple,2024,Qtr 2,May,9,5,979,7,7,9,17,43,26,1.307692307692308,1,9,0,1.7642857142857142,5,31,141,10.19607843137255,9,2,28,3,4,32,38,9,0,6283,-25.10526315789474,285.0592105263158,6720,145,9,34,0,117,defeat
Gold 2,Bind,Skye,justsimple,2023,Qtr 3,August,11,5,620,3,7,15,13,28,15,0.866666666666667,2,4,0,1.25,3,25,71,21.518987341772153,15,1,1,2,1,19,61,7,1,4543,17.892857142857142,162.25,4042,56,17,20,2,54,defeat
Gold 2,Breeze,Yoru,justsimple,2024,Qtr 1,January,25,5,678,3,5,11,8,21,13,0.615384615384615,1,3,0,1.1428571428571428,2,16,81,20.37037037037037,11,2,12,5,4,15,22,3,0,3188,31.857142857142858,151.8095238095238,2519,39,11,14,0,72,defeat
Gold 2,Fracture,Chamber,sp1cyn00dz,2023,Qtr 1,January,2,5,412,3,5,7,14,28,14,1,2,10,0.5,0.8333333333333334,4,15,68,15.555555555555555,7,2,20,3,3,1,7,2,0,2954,-13,105.5,3318,36,7,18,1,38,tied
